DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,Weather
2020-04-01,7.61,0.0,0.0,0.0,8.333333333333334,13.333333333333334,3.3333333333333335,,Good
2020-04-02,9.4,0.0,0.0,0.0,8.88888888888889,14.444444444444445,3.3333333333333335,,Good
2020-04-03,8.72,0.13,0.0,0.0,9.166666666666666,11.11111111111111,7.222222222222222,,Good
2020-04-04,4.25,0.02,0.0,0.0,12.222222222222223,16.666666666666668,7.777777777777779,,Bad
2020-04-05,2.46,0.0,0.0,0.0,13.333333333333336,18.333333333333336,8.333333333333334,,Good
2020-04-06,5.82,0.07,0.0,0.0,14.166666666666668,18.88888888888889,9.444444444444445,,Bad
2020-04-07,3.8,0.0,0.0,0.0,15.555555555555555,20.0,11.11111111111111,,Good
2020-04-08,3.8,0.2,0.0,0.0,13.61111111111111,17.77777777777778,9.444444444444445,,Bad
2020-04-09,7.83,0.12,0.0,0.0,10.555555555555555,15.0,6.111111111111112,,Bad
2020-04-10,10.07,0.01,0.0,0.0,6.111111111111111,9.444444444444445,2.7777777777777777,,Good
2020-04-11,8.95,0.0,0.0,0.0,8.333333333333334,13.333333333333334,3.3333333333333335,,Good
2020-04-12,5.82,0.0,0.0,0.0,11.944444444444445,17.22222222222222,6.666666666666667,,Good
2020-04-13,7.83,1.92,0.0,0.0,15.555555555555557,19.444444444444446,11.666666666666668,,Bad
2020-04-14,6.26,0.0,0.0,0.0,11.944444444444446,15.555555555555557,8.333333333333334,,Good
2020-04-15,6.26,0.0,0.0,0.0,8.88888888888889,12.222222222222223,5.555555555555555,,Good
2020-04-16,9.17,0.0,0.0,0.0,6.666666666666667,10.0,3.3333333333333335,,Good
2020-04-17,5.37,0.07,0.0,0.0,6.388888888888889,10.555555555555555,2.2222222222222223,,Bad
2020-04-18,5.82,0.22,0.0,0.0,6.388888888888889,7.777777777777779,5.0,,Bad
2020-04-19,7.38,0.0,0.0,0.0,10.833333333333332,17.22222222222222,4.444444444444445,,Good
2020-04-20,4.7,0.0,0.0,0.0,11.38888888888889,13.88888888888889,8.88888888888889,,Good
2020-04-21,7.16,0.18,0.0,0.0,10.0,16.11111111111111,3.8888888888888893,,Bad
2020-04-22,8.05,0.0,0.0,0.0,6.388888888888889,10.555555555555555,2.2222222222222223,,Good
2020-04-23,3.8,0.13,0.0,0.0,7.777777777777778,11.11111111111111,4.444444444444445,,Bad
2020-04-24,7.16,0.48,0.0,0.0,7.5,9.444444444444445,5.555555555555555,,Bad
2020-04-25,3.36,0.0,0.0,0.0,12.500000000000002,18.333333333333336,6.666666666666667,,Good
2020-04-26,10.51,0.22,0.0,0.0,8.055555555555555,10.555555555555555,5.555555555555555,,Bad
