"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-01","7.61","0.00","0.0","0.0",,"56","38",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-02","9.40","0.00","0.0","0.0",,"58","38",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-03","8.72","0.13","0.0","0.0",,"52","45",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-04","4.25","0.02","0.0","0.0",,"62","46",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-05","2.46","0.00","0.0","0.0",,"65","47",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-06","5.82","0.07","0.0","0.0",,"66","49",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-07","3.80","0.00","0.0","0.0",,"68","52",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-08","3.80","0.20","0.0","0.0",,"64","49",,"    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-09","7.83","0.12","0.0","0.0",,"59","43",,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-10","10.07","0.01","0.0","0.0",,"49","37",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-11","8.95","0.00","0.0","0.0",,"56","38",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-12","5.82","0.00","0.0","0.0",,"63","44",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-13","7.83","1.92","0.0","0.0",,"67","53",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-14","6.26","0.00","0.0","0.0",,"60","47",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-15","6.26","0.00","0.0","0.0",,"54","42",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-16","9.17","0.00","0.0","0.0",,"50","38",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-17","5.37","0.07","0.0","0.0",,"51","36",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-18","5.82","0.22","0.0","0.0",,"46","41",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-19","7.38","0.00","0.0","0.0",,"63","40",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-20","4.70","0.00","0.0","0.0",,"57","48",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-21","7.16","0.18","0.0","0.0",,"61","39",,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-22","8.05","0.00","0.0","0.0",,"51","36",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-23","3.80","0.13","0.0","0.0",,"52","40",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-24","7.16","0.48","0.0","0.0",,"49","42",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-25","3.36","0.00","0.0","0.0",,"65","44",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-26","10.51","0.22","0.0","0.0",,"51","42",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-27","7.38","0.00","0.0","0.0",,"50","39",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-28","3.80","0.00","0.0","0.0",,"67","41",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-29","6.71","0.01","0.0","0.0",,"59","47",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-04-30","9.17","0.71","0.0","0.0",,"60","49",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-01","3.80","0.21","0.0","0.0",,"66","53",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-02","6.04","0.00","0.0","0.0",,"73","51",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-03","5.59","0.04","0.0","0.0",,"80","54",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-04","5.82","0.00","0.0","0.0",,"75","50",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-05","6.71","0.00","0.0","0.0",,"63","46",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-06","5.59","0.06","0.0","0.0",,"52","45",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-07","6.04","0.00","0.0","0.0",,"67","46",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-08","4.25","0.45","0.0","0.0",,"57","36",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-09","8.95","0.03","0.0","0.0",,"48","34",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-10","7.38","0.00","0.0","0.0",,"64","39",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-11","5.82","0.05","0.0","0.0",,"61","44",,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-12","7.83","0.00","0.0","0.0",,"59","43",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-13","5.37","0.00","0.0","0.0",,"64","41",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-14","2.24","0.00","0.0","0.0",,"67","47",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-15","4.92","0.07","0.0","0.0",,"84","60",,"    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-16","3.80","0.01","0.0","0.0",,"77","59",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-17","3.13","0.00","0.0","0.0",,"69","55",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-18",,"0.00","0.0","0.0",,"70","54",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-19",,"0.00","0.0","0.0",,"68","53",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2020-05-20",,"0.00","0.0","0.0",,"66","49",,,,,,,
